#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass  Alpha         Dg 
#                [g/mol]
#
 [O]OC1C=CC2OOC1C2O                                                                                                     
 c1ccccc1CO[O]                                                                                                          
 [O]OC1C=CC2(C)OOC1C2O                                                                                                  
 [O]OC1(C)C=CC2OOC1(C)C2O                                                                                               
 Cc1ccccc1CO[O]                                                                                                         
 [O]OC1C=CC2(C)OOC1(C)C2O                                                                                               
 Cc1cccc(c1)CO[O]                                                                                                       
 [O]OC1(C)C=CC2(C)OOC1C2O                                                                                               
 Cc1ccc(CO[O])cc1                                                                                                       
 c1ccccc1CCO[O]                                                                                                         
 [O]OC1C=CC2(CC)OOC1C2O                                                                                                 
 c1ccccc1C(O[O])CC                                                                                                      
 CCCC12OOC(C(O[O])C=C1)C2O                                                                                              
 c1ccccc1C(O[O])(C)C                                                                                                    
 [O]OC1C=CC2(OOC1C2O)C(C)C                                                                                              
 Cc1cccc(CO[O])c1C                                                                                                      
 [O]OC1C=CC2(C)OOC1(C)C2(C)O                                                                                            
 Cc1ccc(CO[O])cc1C                                                                                                      
 [O]OC1(C)C=CC2(C)OOC1(C)C2O                                                                                            
 [O]OC1C(=CC2(C)OOC1(C)C2O)C                                                                                            
 c1c(C)cc(CO[O])cc1C                                                                                                    
 Cc1ccccc1C(O[O])C                                                                                                      
 CCC1(O[O])C=CC2OOC1(C)C2O                                                                                              
 [O]OC1C=CC2(C)OOC1(CC)C2O                                                                                              
 [O]OC1(C)C=CC2(CC)OOC1C2O                                                                                              
 c1c(C)cc(C)cc1C(O[O])C                                                                                                 
 [O]OC1C(=CC2(CC)OOC1(C)C2O)C                                                                                           
 CC(O[O])c(c1)cc(C)cc1CC                                                                                                
 [O]OC1C(=CC2(CC)OOC1(C)C2O)CC                                                                                          
 c1ccccc1C(O)CO[O]                                                                                                      
 c1ccccc1C(O[O])CON(=O)(=O)                                                                                             
 c1ccccc1C(=O)O[O]                                                                                                      
